order_id,order_date,region,channel,product,quantity,unit_price,discount,revenue,customer_age,customer_income,satisfaction
SO-2490,2024-04-01,South,Online,Nimbus Tablet,3,619.38,0.0,1858.13,58,73200.0,3.0
SO-2491,2024-04-02,South,Partner,Nimbus Tablet,9,658.03,0.0,5922.31,33,39600.0,3.8
SO-2492,2024-04-03,North,Partner,Pulse Headset,7,98.99,0.1,623.62,59,67800.0,3.7
SO-2493,2024-04-04,North,Online,Nimbus Tablet,8,608.98,0.0,4871.8,51,52800.0,3.6
SO-2494,2024-04-05,South,Retail,Cobalt Keyboard,9,65.52,0.1,530.68,60,79400.0,3.6
SO-2495,2024-04-06,North,Online,Nimbus Tablet,8,652.87,0.0,5222.94,53,61400.0,4.0
SO-2496,2024-04-07,South,Online,Flux Webcam,3,50.18,0.0,150.55,42,47300.0,4.3
SO-2497,2024-04-08,West,Retail,Pulse Headset,6,89.69,0.1,484.35,32,29800.0,2.4
SO-2498,2024-04-09,West,Retail,Aurora Laptop,11,1482.49,0.05,15492.05,47,58800.0,4.8
SO-2499,2024-04-10,South,Online,Pulse Headset,8,92.03,0.0,736.27,21,25900.0,3.9
SO-2500,2024-04-11,South,Retail,Nimbus Tablet,10,571.24,0.05,5426.76,29,,4.0
SO-2501,2024-04-12,West,Partner,Vertex Monitor,7,319.3,0.0,2235.07,53,52400.0,4.4
SO-2502,2024-04-13,South,Online,Nimbus Tablet,9,647.52,0.1,5244.93,26,20700.0,5.0
SO-2503,2024-04-14,East,Retail,Vertex Monitor,5,291.09,0.0,1455.43,58,66200.0,5.0
SO-2504,2024-04-15,East,Partner,Pulse Headset,8,93.18,0.0,745.42,26,44400.0,3.7
SO-2505,2024-04-16,South,Online,Pulse Headset,9,92.66,0.15,708.89,22,25100.0,4.7
SO-2506,2024-04-17,North,Online,Aurora Laptop,6,1437.15,0.0,8622.87,66,82500.0,4.3
SO-2507,2024-04-18,North,Retail,Flux Webcam,6,50.8,0.1,2469.15,43,62500.0,4.1
SO-2508,2024-04-19,North,Online,Nimbus Tablet,11,572.8,0.15,5355.71,23,35900.0,3.6
SO-2509,2024-04-20,West,Partner,Pulse Headset,10,95.11,0.0,951.13,33,40000.0,3.9
SO-2510,2024-04-21,West,Online,Nimbus Tablet,7,609.35,0.05,4052.15,33,27700.0,4.4
SO-2511,2024-04-22,South,Retail,Vertex Monitor,8,311.95,0.0,2495.63,35,42900.0,4.2
SO-2512,2024-04-23,North,Partner,Cobalt Keyboard,7,70.24,0.0,491.65,27,36200.0,5.0
SO-2513,2024-04-24,North,Online,Nimbus Tablet,11,645.13,0.0,7096.47,42,52200.0,3.6
SO-2514,2024-04-25,West,Retail,Cobalt Keyboard,7,69.43,0.15,413.13,31,33600.0,4.1
SO-2515,2024-04-26,West,Online,Pulse Headset,10,82.45,0.0,824.5,53,54400.0,4.2
SO-2516,2024-04-27,South,Online,Pulse Headset,7,90.04,0.0,630.31,66,81500.0,4.8
SO-2517,2024-04-28,East,Online,Flux Webcam,11,52.22,0.0,574.4,63,81400.0,4.2
SO-2518,2024-04-29,South,Online,Pulse Headset,9,98.9,0.1,801.06,56,66100.0,4.5
SO-2519,2024-04-30,South,Partner,Nimbus Tablet,4,587.84,0.15,1998.65,53,61300.0,3.6
SO-2520,2024-05-01,East,Online,Pulse Headset,6,91.25,0.15,465.35,56,68200.0,4.4
SO-2521,2024-05-02,South,Partner,Pulse Headset,9,103.21,0.0,928.89,46,45700.0,3.9
SO-2522,2024-05-03,West,Retail,Cobalt Keyboard,3,59.28,0.0,177.85,43,46600.0,4.4
SO-2523,2024-05-04,South,Retail,Nimbus Tablet,11,609.45,0.05,6368.7,43,50200.0,5.0
SO-2524,2024-05-05,East,Retail,Nimbus Tablet,3,598.79,0.1,1616.74,44,,4.6
SO-2525,2024-05-06,South,Retail,Flux Webcam,10,50.91,0.15,432.76,58,72800.0,3.7
SO-2526,2024-05-07,East,Retail,Pulse Headset,8,93.25,0.1,671.43,45,53300.0,3.8
SO-2527,2024-05-08,South,Online,Nimbus Tablet,3,639.84,0.1,1727.56,67,83200.0,4.1
SO-2528,2024-05-09,East,Partner,Vertex Monitor,6,324.78,0.0,1948.65,30,26100.0,4.4
SO-2529,2024-05-10,North,Retail,Vertex Monitor,6,357.89,0.05,2039.98,66,79700.0,4.5
SO-2530,2024-05-11,North,Online,Nimbus Tablet,10,675.76,0.0,6757.57,64,69700.0,3.5
SO-2531,2024-05-12,East,Online,Pulse Headset,3,94.73,0.05,269.98,48,58600.0,4.9
SO-2532,2024-05-13,North,Online,Aurora Laptop,5,1468.67,0.05,6976.16,28,26800.0,4.2
SO-2533,2024-05-14,West,Partner,Aurora Laptop,7,1526.96,0.0,10688.7,27,33500.0,3.6
SO-2534,2024-05-15,North,Online,Nimbus Tablet,11,703.31,0.0,7736.46,29,49200.0,3.1
SO-2535,2024-05-16,North,Retail,Vertex Monitor,10,307.26,0.0,3072.58,34,35200.0,3.5
SO-2536,2024-05-17,South,Online,Pulse Headset,4,96.96,0.0,387.84,58,70500.0,3.0
SO-2537,2024-05-18,South,Online,Flux Webcam,10,51.55,0.0,515.52,66,80500.0,4.8
SO-2538,2024-05-19,North,Retail,Nimbus Tablet,2,657.38,0.0,1314.75,28,,4.2
SO-2539,2024-05-20,South,Retail,Nimbus Tablet,2,577.99,0.1,1040.38,23,31800.0,4.3
SO-2540,2024-05-21,East,Online,Nimbus Tablet,11,624.88,0.15,5842.6,63,79400.0,3.4
SO-2541,2024-05-22,South,Partner,Aurora Laptop,8,1354.25,0.0,10833.97,33,30800.0,2.5
SO-2542,2024-05-23,North,Online,Nimbus Tablet,2,628.92,0.05,1194.94,63,71500.0,4.0
SO-2543,2024-05-24,North,Retail,Nimbus Tablet,6,645.32,0.15,3291.13,52,53000.0,3.9
SO-2544,2024-05-25,North,Retail,Flux Webcam,7,50.99,0.1,321.22,54,,3.9
SO-2545,2024-05-26,South,Partner,Cobalt Keyboard,4,67.25,0.0,268.99,47,64000.0,4.1
SO-2546,2024-05-27,South,Online,Nimbus Tablet,9,655.78,0.0,5902.0,31,35300.0,4.0
SO-2547,2024-05-28,North,Online,Cobalt Keyboard,8,67.68,0.1,487.29,36,35400.0,2.7
SO-2548,2024-05-29,West,Retail,Aurora Laptop,2,1491.97,0.0,2983.95,50,57200.0,4.2
SO-2549,2024-05-30,West,Retail,Pulse Headset,8,93.91,0.05,713.75,42,55900.0,4.6
SO-2550,2024-05-31,North,Retail,Vertex Monitor,1,295.69,0.1,266.12,64,70300.0,4.0
SO-2551,2024-06-01,East,Online,Vertex Monitor,2,303.72,0.0,607.44,47,53500.0,2.7
SO-2552,2024-06-02,South,Retail,Nimbus Tablet,1,685.75,0.0,685.75,40,41600.0,4.0
SO-2553,2024-06-03,West,Retail,Pulse Headset,10,93.72,0.15,796.58,66,72000.0,3.5
SO-2554,2024-06-04,South,Online,Flux Webcam,9,52.19,0.1,422.72,27,34700.0,4.3
SO-2555,2024-06-05,East,Online,Cobalt Keyboard,5,72.15,0.0,360.77,43,59000.0,5.0
SO-2556,2024-06-06,East,Retail,Cobalt Keyboard,11,69.33,0.0,762.63,27,27800.0,3.1
SO-2557,2024-06-07,West,Partner,Pulse Headset,8,97.66,0.0,781.28,25,39700.0,2.9
SO-2558,2024-06-08,West,Retail,Flux Webcam,5,58.04,0.0,290.21,39,40800.0,4.6
SO-2559,2024-06-09,East,Partner,Cobalt Keyboard,4,71.22,0.1,256.39,31,48600.0,
SO-2560,2024-06-10,North,Retail,Pulse Headset,3,91.25,0.15,232.69,50,60600.0,4.6
SO-2561,2024-06-11,East,Retail,Flux Webcam,8,53.84,0.0,430.7,60,83100.0,4.1
SO-2562,2024-06-12,South,Partner,Aurora Laptop,10,1408.32,0.0,14083.22,23,20700.0,3.7
SO-2563,2024-06-13,East,Retail,Nimbus Tablet,1,609.83,0.0,609.83,64,81000.0,3.1
SO-2564,2024-06-14,North,Retail,Flux Webcam,10,54.85,0.15,466.22,40,53300.0,3.8
SO-2565,2024-06-15,North,Online,Nimbus Tablet,10,622.72,0.0,6227.21,29,28300.0,3.9
SO-2566,2024-06-16,North,Partner,Aurora Laptop,9,1430.11,0.0,12870.99,42,42800.0,4.3
SO-2567,2024-06-17,North,Online,Vertex Monitor,7,301.5,0.0,2110.5,22,25000.0,5.0
SO-2568,2024-06-18,South,Online,Cobalt Keyboard,1,68.55,0.05,65.13,45,48500.0,3.6
SO-2569,2024-06-19,West,Online,Pulse Headset,10,93.79,0.0,937.91,65,83400.0,4.6
SO-2570,2024-06-20,East,Partner,Pulse Headset,9,99.71,0.0,897.41,47,52300.0,4.6
SO-2571,2024-06-21,North,Online,Cobalt Keyboard,2,68.75,0.0,137.5,25,28500.0,3.7
SO-2572,2024-06-22,North,Retail,Cobalt Keyboard,8,67.53,0.1,486.22,61,72500.0,3.7
SO-2573,2024-06-23,East,Retail,Aurora Laptop,4,1675.31,0.0,6701.22,40,58500.0,4.5
SO-2574,2024-06-24,West,Retail,Flux Webcam,7,52.88,0.1,333.13,58,75400.0,2.7
SO-2575,2024-06-25,East,Partner,Pulse Headset,9,91.63,0.0,824.7,43,55800.0,
SO-2576,2024-06-26,South,Online,Cobalt Keyboard,1,63.82,0.0,63.82,28,33600.0,3.2
SO-2577,2024-06-27,West,Partner,Pulse Headset,2,89.68,0.15,152.46,65,79100.0,3.8
SO-2578,2024-06-28,South,Online,Vertex Monitor,2,288.92,0.05,548.95,28,21100.0,4.1
SO-2579,2024-06-29,North,Partner,Nimbus Tablet,9,617.52,0.0,5557.68,53,61400.0,3.7
SO-2580,2024-06-30,South,Online,Cobalt Keyboard,8,67.94,0.0,543.5,38,38400.0,3.8
SO-2581,2024-07-01,South,Online,Aurora Laptop,5,1493.95,0.0,7469.75,53,63000.0,3.9
SO-2582,2024-07-02,East,Online,Cobalt Keyboard,6,64.58,0.15,329.35,63,73900.0,4.9
SO-2583,2024-07-03,West,Retail,Nimbus Tablet,4,605.57,0.0,2422.3,65,73000.0,2.7
SO-2584,2024-07-04,South,Online,Aurora Laptop,11,1408.33,0.0,15491.65,23,27800.0,5.0
SO-2585,2024-07-05,North,Retail,Pulse Headset,3,102.86,0.05,293.15,43,51900.0,4.6
SO-2586,2024-07-06,South,Online,Pulse Headset,2,95.69,0.05,1636.3799999999999,34,33300.0,3.0
SO-2587,2024-07-07,South,Online,Nimbus Tablet,1,633.79,0.0,633.79,42,54100.0,4.4
SO-2588,2024-07-08,North,Retail,Aurora Laptop,6,1531.25,0.15,7809.36,64,77900.0,3.8
SO-2589,2024-07-09,South,Retail,Vertex Monitor,9,313.63,0.15,2399.24,42,48700.0,3.5
SO-2590,2024-07-10,North,Retail,Cobalt Keyboard,3,67.81,0.0,203.43,61,74500.0,4.1
SO-2591,2024-07-11,North,Online,Vertex Monitor,11,303.36,0.0,3336.96,57,75200.0,4.4
SO-2592,2024-07-12,East,Online,Cobalt Keyboard,7,67.02,0.0,469.11,44,59100.0,4.3
SO-2593,2024-07-13,East,Online,Flux Webcam,6,51.91,0.05,295.89,64,81500.0,3.1
SO-2594,2024-07-14,East,Retail,Cobalt Keyboard,3,67.21,0.0,201.62,67,80800.0,3.6
SO-2595,2024-07-15,West,Online,Flux Webcam,8,51.41,0.1,370.13,47,69600.0,
SO-2596,2024-07-16,South,Online,Pulse Headset,4,104.08,0.0,416.33,67,90000.0,
SO-2597,2024-07-17,East,Online,Flux Webcam,9,48.54,0.05,415.05,52,49300.0,4.6
SO-2598,2024-07-18,North,Retail,Nimbus Tablet,10,556.22,0.15,4727.87,59,75000.0,3.9
SO-2599,2024-07-19,North,Online,Nimbus Tablet,3,631.87,0.15,1611.27,46,40700.0,4.6
SO-2600,2024-07-20,West,Online,Pulse Headset,1,101.57,0.1,91.41,27,38300.0,4.2
SO-2601,2024-07-21,South,Online,Flux Webcam,6,51.31,0.0,307.88,35,47900.0,4.4
SO-2602,2024-07-22,South,Online,Pulse Headset,4,99.0,0.0,396.0,52,62100.0,3.6
SO-2603,2024-07-23,North,Online,Pulse Headset,5,102.9,0.1,463.03,51,60300.0,5.0
SO-2604,2024-07-24,West,Online,Cobalt Keyboard,9,67.24,0.0,605.16,36,45700.0,4.7
SO-2605,2024-07-25,North,Retail,Nimbus Tablet,3,626.83,0.15,1598.43,25,,4.4
SO-2606,2024-07-26,North,Online,Flux Webcam,11,49.89,0.0,548.74,63,75900.0,3.1
SO-2607,2024-07-27,North,Online,Aurora Laptop,3,1404.43,0.0,4213.3,60,62000.0,4.4
SO-2608,2024-07-28,North,Partner,Nimbus Tablet,2,607.79,0.0,1215.58,22,22600.0,4.6
SO-2609,2024-07-29,North,Online,Cobalt Keyboard,8,70.53,0.0,564.21,64,82300.0,
SO-2610,2024-07-30,South,Partner,Pulse Headset,6,102.12,0.1,551.44,48,57800.0,3.5
SO-2611,2024-07-31,East,Retail,Cobalt Keyboard,7,70.38,0.0,492.66,31,37000.0,3.7
SO-2612,2024-08-01,North,Online,Vertex Monitor,3,296.78,0.05,845.81,23,35600.0,5.0
SO-2613,2024-08-02,South,Online,Aurora Laptop,9,1394.25,0.0,12548.21,57,65800.0,3.4
SO-2614,2024-08-03,South,Retail,Pulse Headset,11,93.32,0.15,872.53,33,33300.0,3.5
SO-2615,2024-08-04,West,Online,Pulse Headset,10,95.12,0.1,856.1,55,58800.0,4.3
SO-2616,2024-08-05,South,Partner,Nimbus Tablet,8,638.69,0.05,4854.03,37,54000.0,5.0
SO-2617,2024-08-06,North,Retail,Pulse Headset,2,87.98,0.0,175.96,27,28300.0,4.0
SO-2618,2024-08-07,South,Retail,Cobalt Keyboard,6,64.5,0.0,386.98,49,66800.0,4.3
SO-2619,2024-08-08,South,Online,Flux Webcam,11,56.7,0.05,592.55,31,37500.0,4.5
SO-2620,2024-08-09,North,Retail,Pulse Headset,7,97.34,0.0,681.39,39,44900.0,2.9
SO-2621,2024-08-10,South,Partner,Pulse Headset,10,97.11,0.15,825.44,44,55200.0,3.6
SO-2622,2024-08-11,South,Retail,Pulse Headset,3,88.5,0.0,265.5,30,33600.0,3.7
SO-2623,2024-08-12,South,Retail,Vertex Monitor,7,326.4,0.0,2284.81,42,42900.0,3.9
SO-2624,2024-08-13,North,Retail,Pulse Headset,6,97.74,0.1,527.81,50,64100.0,3.6
SO-2625,2024-08-14,East,Retail,Vertex Monitor,1,287.86,0.0,287.86,50,63900.0,4.0
SO-2626,2024-08-15,West,Retail,Pulse Headset,7,89.31,0.05,593.93,32,33800.0,5.0
SO-2627,2024-08-16,East,Retail,Pulse Headset,9,98.19,0.05,839.51,32,32800.0,4.2
SO-2628,2024-08-17,West,Online,Pulse Headset,5,88.93,0.05,422.41,33,,4.9
SO-2629,2024-08-18,North,Retail,Cobalt Keyboard,3,70.18,0.05,200.0,59,71500.0,4.1
SO-2630,2024-08-19,North,Online,Nimbus Tablet,5,604.57,0.05,2871.71,67,84600.0,4.2
SO-2631,2024-08-20,South,Online,Nimbus Tablet,10,641.9,0.0,6419.01,43,45800.0,4.1
SO-2632,2024-08-21,South,Retail,Vertex Monitor,2,324.81,0.0,649.61,35,35700.0,4.8
SO-2633,2024-08-22,South,Online,Flux Webcam,8,56.94,0.1,409.94,67,90400.0,
SO-2634,2024-08-23,North,Online,Pulse Headset,11,86.8,0.0,954.82,24,20700.0,4.0
SO-2635,2024-08-24,South,Online,Nimbus Tablet,5,575.72,0.0,2878.62,50,49500.0,3.1
SO-2636,2024-08-25,North,Online,Vertex Monitor,7,308.96,0.1,1946.42,54,67700.0,4.5
SO-2637,2024-08-26,East,Online,Cobalt Keyboard,1,73.88,0.15,62.8,58,67400.0,3.5
SO-2638,2024-08-27,West,Online,Nimbus Tablet,10,637.04,0.0,6370.39,67,73200.0,4.5
SO-2639,2024-08-28,East,Retail,Cobalt Keyboard,7,63.5,0.0,444.49,59,63000.0,4.4
SO-2640,2024-08-29,South,Online,Flux Webcam,9,54.46,0.1,441.15,42,51500.0,4.2
SO-2641,2024-08-30,North,Retail,Flux Webcam,8,51.89,0.0,415.13,45,54300.0,4.1
SO-2642,2024-08-31,North,Online,Pulse Headset,8,101.3,0.05,769.84,38,44000.0,3.7
SO-2643,2024-09-01,North,Partner,Vertex Monitor,10,292.52,0.05,2778.9,53,58500.0,3.8
SO-2644,2024-09-02,South,Online,Nimbus Tablet,7,649.85,0.0,4548.93,67,,3.8
SO-2645,2024-09-03,North,Online,Nimbus Tablet,1,664.12,0.05,630.91,42,38900.0,4.5
SO-2646,2024-09-04,West,Partner,Aurora Laptop,9,1380.56,0.0,12425.06,50,65700.0,4.3
SO-2647,2024-09-05,East,Online,Cobalt Keyboard,7,68.61,0.15,408.21,47,72400.0,4.0
SO-2648,2024-09-06,East,Online,Vertex Monitor,9,317.5,0.0,2857.51,42,47500.0,4.6
SO-2649,2024-09-07,South,Retail,Nimbus Tablet,2,627.49,0.0,1254.98,43,53900.0,4.7
SO-2650,2024-09-08,North,Retail,Cobalt Keyboard,6,65.18,0.05,371.52,50,51800.0,2.3
SO-2651,2024-09-09,North,Online,Nimbus Tablet,10,652.72,0.05,6200.8,44,47600.0,3.6
SO-2652,2024-09-10,South,Retail,Nimbus Tablet,1,592.84,0.05,563.2,67,93400.0,4.9
SO-2653,2024-09-11,West,Retail,Nimbus Tablet,2,624.01,0.1,1123.23,52,65300.0,4.5
SO-2654,2024-09-12,North,Partner,Cobalt Keyboard,2,69.82,0.0,139.65,42,57100.0,3.9
SO-2655,2024-09-13,North,Online,Nimbus Tablet,6,632.59,0.05,3605.76,61,78000.0,4.5
SO-2656,2024-09-14,East,Online,Nimbus Tablet,6,639.86,0.1,3455.26,52,50000.0,4.7
SO-2657,2024-09-15,West,Retail,Flux Webcam,8,47.37,0.0,378.95,25,18900.0,4.6
SO-2658,2024-09-16,East,Online,Cobalt Keyboard,1,60.38,0.15,51.32,28,29200.0,3.6
SO-2659,2024-09-17,West,Partner,Pulse Headset,2,96.24,0.15,163.61,31,41100.0,3.8
SO-2404,2024-01-06,North,Online,Flux Webcam,5,52.46,0.0,262.29,43,48500.0,3.9
SO-2440,2024-02-11,East,Retail,Nimbus Tablet,9,640.46,0.1,5187.73,23,19300.0,3.9
